CODIGO;DESCRIPCION;LATITUD;LONGITUD;DIRECION;CP;POBLACION;PROVINCIA;PAIS;CERCANIAS;FEVE;COMUN
78710;TERRASA EST                             ;41.567261 ;2.041561  ;Carrer D'ÁLaba, S/N;08227;TERRASSA;BARCELONA;ESPAÑA;SI;NO;
78800;MONTCADA BIFURCACIÓ                     ;41.468992 ;2.178904  ;Carrer Bateria, S/N;08041;MONTCADA I REIXAC;BARCELONA;ESPAÑA;SI;NO;
78801;TORRE  BARO Y VALLBONA                  ;41.460945 ;2.181042  ;Calle Valcivera, S/N;08033;BARCELONA;BARCELONA;ESPAÑA;SI;NO;
78802;BARCELONA-FABRA I PUIG                  ;41.430893 ;2.183095  ;Avinguda Meridiana, 416;08030;BARCELONA;BARCELONA;ESPAÑA;SI;NO;
78803;APEADERO VILANOVA                       ;;;;;VILANOVA I LA GELTRÚ;BARCELONA;ESPAÑA;SI;NO;
78804;BARCELONA-ARC DE TRIOMF                 ;41.391864 ;2.180076  ;Passeig Sant Joan, S/N;08010;BARCELONA;BARCELONA;ESPAÑA;SI;NO;
78805;BARCELONA-PLAÇA DE CATALUNYA            ;41.386726 ;2.166458  ;Plaça de Catalunya, S/N;08002;BARCELONA;BARCELONA;ESPAÑA;SI;NO;
78806;BARCELONA LA SAGRERA MERIDIANA          ;41.422638 ;2.187262  ;Avinguda Meridiana, S/N;08027;BARCELONA;BARCELONA;ESPAÑA;SI;NO;BARCE
79002;BARCELONA-SAGRERA                       ;41.4223890;2.19462300;;;BARCELONA;BARCELONA;ESPAÑA;SI;NO;
79003;BARCELONA-SAGRE                         ;;;;;BARCELONA;BARCELONA;ESPAÑA;SI;NO;
79004;BARCELONA-SANT ANDREU                   ;41.435807 ;2.193572  ;Plaça de L'Estacio, S/N;08030;BARCELONA;BARCELONA;ESPAÑA;SI;NO;BARCE
79005;MONTCADA I REIXAC                       ;41.483833 ;2.188193  ;Carrer Generalitat, 7;08110;MONTCADA I REIXAC;BARCELONA;ESPAÑA;SI;NO;
79006;MOLLET-SANT FOST                        ;41.530069 ;2.215485  ;Calle Ronda Orient, 1;08100;MOLLET DEL VALLÈS;BARCELONA;ESPAÑA;SI;NO;
79007;MONTMELO                                ;41.5519598;2.2517501 ;Calle Miquel Biada, S/N;08160;MONTMELÓ;BARCELONA;ESPAÑA;SI;NO;
79009;BARCELONA-EL CLOT                       ;41.41745  ;2.192893  ;Plaza Canonge Rodo, S/N;08026;BARCELONA;BARCELONA;ESPAÑA;SI;NO;BARCE
79011;LLAGOSTA                                ;41.510428 ;2.199740  ;Calle Estacio Ferrocarril, S/N;08120;LLAGOSTA (LA);BARCELONA;ESPAÑA;SI;NO;
79100;GRANOLLERS CENTRE                       ;41.594528 ;2.29107   ;Plaça Serrat I Bonastre, S/N;08400;GRANOLLERS;BARCELONA;ESPAÑA;SI;NO;
79101;CARDEDEU                                ;41.6354891;2.3576977 ;Calle Jaime I, S/N;08440;CARDEDEU;BARCELONA;ESPAÑA;SI;NO;
79102;LLINARS DEL VALLES                      ;41.636058 ;2.403675  ;Calle Monserrat Cullel, S/N;08450;LLINARS DEL VALLÈS;BARCELONA;ESPAÑA;SI;NO;
79103;PALAUTORDERA (APD)                      ;41.670899 ;2.452823  ;Carretera Local Bv-5301, Km. 1;08460;SANTA MARIA DE PALAUTORDERA;BARCELONA;ESPAÑA;SI;NO;
79104;SANT CELONI                             ;41.686024 ;2.491262  ;Plaça de L'Estacio, S/N;08470;SANT CELONI;BARCELONA;ESPAÑA;SI;NO;
79105;GUALBA                                  ;41.714078 ;2.533778  ;Calle Barrio de la Estacio, S/N;08470;GUALBA;BARCELONA;ESPAÑA;SI;NO;
79106;RIELLS I VIABREA-BREDA                  ;41.723357 ;2.560075  ;Calle Mosen Pere Ribot, S/N;17404;RIELLS I VIABREA;BARCELONA;ESPAÑA;SI;NO;
79107;HOSTALRIC                               ;41.747657 ;2.632175  ;Calle Bajada de la Estacio, S/N;17450;HOSTALRIC;GIRONA;ESPAÑA;SI;NO;
79108;GRANOLLERS                              ;;;;;GRANOLLERS;BARCELONA;ESPAÑA;NO;NO;
79109;LES FRANQUESES-GRANOLLERS NORD          ;41.617306 ;2.292859  ;Calle Carrer Arago, S/N;08521;FRANQUESES DEL VALLÈS (LES);BARCELONA;ESPAÑA;SI;NO;
79200;MAÇANET-MASSANES                        ;41.778657 ;2.678775  ;Carretera de Hostalric, Km 47;17412;MASSANES;GIRONA;ESPAÑA;SI;NO;
79202;SILS                                    ;41.8076830;2.74486000;Plaça de L'Estacio, S/N;17410;SILS;GIRONA;ESPAÑA;NO;NO;
79203;CALDES DE MALAVELLA                     ;41.8410980;2.80076500;Avenida Doctor Forest, S/N;17455;CALDES DE MALAVELLA;GIRONA;ESPAÑA;NO;NO;
79204;RIUDELLOTS                              ;41.8962320;2.81159900;Carrer Veinat de L'Estacio, S/N;17457;RIUDELLOTS DE LA SELVA;GIRONA;ESPAÑA;NO;NO;
79205;FORNELLS DE LA SELVA                    ;41.9351570;2.80973200;Carrer de Caterina Albert, S/N;17458;FORNELLS DE LA SELVA;GIRONA;ESPAÑA;NO;NO;
79206;GIRONA                                  ;41.9534810;2.80536000;;;GIRONA;GIRONA;ESPAÑA;NO;NO;
79300;GIRONA                                  ;41.9793030;2.81700600;Plaça de Espanya, S/N;17002;GIRONA;GIRONA;ESPAÑA;SI;NO;
79301;CELRÀ                                   ;42.0272300;2.87496900;Carretera de Juia, 45;17460;CELRÀ;GIRONA;ESPAÑA;NO;NO;
79302;BORDILS-JUIÀ                            ;42.0370680;2.91525500;Carrer de Palamos - Estacion Ferrocarril, S/N;17462;BORDILS;GIRONA;ESPAÑA;NO;NO;
79303;FLAÇÀ                                   ;42.0475960;2.95750600;Plaça Estacio del Carrilet, S/N;17463;FLAÇÀ;GIRONA;ESPAÑA;NO;NO;
79304;SANT JORDI DESVALLS                     ;42.0683190;2.96453300;Carrer de L'Estacio, S/N;17464;SANT JORDI DESVALLS;GIRONA;ESPAÑA;NO;NO;
79305;CAMALLERA                               ;42.1223590;2.96544800;Carrer Estacio Ferrocarril, S/N;17465;SAUS, CAMALLERA I LLAMPAIES;GIRONA;ESPAÑA;NO;NO;
79306;SANT MIQUEL DE FLUVIÀ                   ;42.1720870;2.98966300;Carretera Gi-622 - Estacion Ferrocarril, S/N;17475;SANT MIQUEL DE FLUVIÀ;GIRONA;ESPAÑA;NO;NO;
79307;TONYA (APD)                             ;;;;;GARRIGÀS;GIRONA;ESPAÑA;NO;NO;
79308;VILAMALLA                               ;42.2162020;2.97787400;Carretera Giv-6227 - Cami de L'Estacio, S/N;17469;VILAMALLA;GIRONA;ESPAÑA;NO;NO;
79309;FIGUERES                                ;42.2650650;2.96878700;Plaça Estacio Ferrocarril, S/N;17600;FIGUERES;GIRONA;ESPAÑA;NO;NO;
79310;PERALADA                                ;;;;;PERALADA;GIRONA;ESPAÑA;NO;NO;
79311;VILAJUÏGA                               ;42.3257390;3.08538500;Passeig de L'Estacio, S/N;17493;VILAJUÏGA;GIRONA;ESPAÑA;NO;NO;
79312;LLANÇÀ                                  ;42.3665949;3.14898700;Plaça L'Estacio Ferrocarril, S/N;17490;LLANÇÀ;GIRONA;ESPAÑA;NO;NO;
79313;PLATJA DE GARBET (APD)                  ;42.3917790;3.14922800;;;COLERA;GIRONA;ESPAÑA;NO;NO;
79314;COLERA                                  ;42.4070680;3.15426200;Carrer Pujada Estacio, S/N;17496;COLERA;GIRONA;ESPAÑA;NO;NO;
79315;PORTBOU                                 ;42.4244940;3.15785800;Calle Claudi Planas, S/N;17497;PORTBOU;GIRONA;ESPAÑA;NO;NO;PORTB
79316;CERBÈRE                                 ;42.4414760;3.16325900;Rue Lamartine;;PORTBOU;GIRONA;ESPAÑA;NO;NO;PORTB
79333;FIGUERES.BUS                            ;42.2645900;2.96744400;;;FIGUERES;GIRONA;ESPAÑA;NO;NO;
